Quarter,Time_Index,Household_Consumption,Government_Consumption,Gross_Capital_Formation,Exports,Imports,Statistical_Discrepancy,GDP
1981 Q1,1,42128.0,6187.0,19930.0,13627.0,13795.0,8234.0,76312.0
1981 Q2,2,47703.0,6774.0,21487.0,12821.0,15773.0,7239.0,80251.0
1981 Q3,3,49103.0,6565.0,20045.0,12132.0,16384.0,4248.0,75709.0
1981 Q4,4,56748.0,7003.0,23004.0,13110.0,15200.0,2994.0,87659.0
1982 Q1,5,47973.0,7490.0,25306.0,12113.0,15931.0,7906.0,84856.0
1982 Q2,6,53586.0,7782.0,24408.0,12710.0,16780.0,8595.0,90302.0
1982 Q3,7,56310.0,7717.0,22014.0,12028.0,16546.0,3106.0,84629.0
1982 Q4,8,65558.0,8010.0,24460.0,13145.0,16736.0,6216.0,100653.0
1983 Q1,9,54022.0,7833.0,29494.0,12976.0,17380.0,10198.0,97142.0
1983 Q2,10,60083.0,8089.0,30917.0,15599.0,19707.0,10465.0,105446.0
1983 Q3,11,61932.0,8361.0,23755.0,15553.0,20645.0,8395.0,97351.0
1983 Q4,12,78144.0,8355.0,34300.0,17599.0,24521.0,5792.0,119668.0
1984 Q1,13,77459.0,9625.0,34951.0,18996.0,20741.0,14040.0,134329.0
1984 Q2,14,88832.0,9677.0,35978.0,21460.0,23354.0,16756.0,149349.0
1984 Q3,15,101636.0,9652.0,21830.0,28667.0,30646.0,10955.0,142094.0
1984 Q4,16,128438.0,11320.0,25563.0,31965.0,31948.0,5538.0,170877.0
1985 Q1,17,107373.0,11139.0,20316.0,28050.0,23972.0,14058.0,156964.0
1985 Q2,18,111470.0,10978.0,29541.0,28655.0,28765.0,14844.0,166722.0
1985 Q3,19,114160.0,11846.0,19939.0,26695.0,25992.0,1833.0,148481.0
1985 Q4,20,133463.0,14183.0,22359.0,27335.0,24175.0,5209.0,178374.0
1986 Q1,21,111501.0,11613.0,26240.0,29118.0,26614.0,10433.0,162291.0
1986 Q2,22,118945.0,12480.0,28399.0,32702.0,28139.0,11842.0,176228.0
1986 Q3,23,120260.0,13057.0,22928.0,33121.0,28384.0,2659.0,163641.0
1986 Q4,24,142424.0,16472.0,26724.0,33695.0,28924.0,300.0,190692.0
1987 Q1,25,117344.0,13924.0,27286.0,32817.0,31730.0,15604.0,175246.0
1987 Q2,26,130419.0,14956.0,31267.0,35112.0,36584.0,17720.0,192890.0
1987 Q3,27,129790.0,15556.0,40327.0,37081.0,39572.0,7525.0,190706.0
1987 Q4,28,153842.0,18608.0,34501.0,39111.0,38367.0,10746.0,218441.0
1988 Q1,29,133961.0,16742.0,40354.0,41070.0,37960.0,10891.0,205057.0
1988 Q2,30,152717.0,18077.0,32989.0,43839.0,45133.0,20421.0,222910.0
1988 Q3,31,154223.0,20368.0,42835.0,47709.0,46270.0,-471.0,218394.0
1988 Q4,32,174808.0,24199.0,50408.0,49432.0,46542.0,11615.0,263919.0
1989 Q1,33,153630.0,21105.0,45330.0,47215.0,48883.0,14146.0,232543.0
1989 Q2,34,170738.0,21180.0,53546.0,49744.0,59289.0,15186.0,251104.0
1989 Q3,35,179096.0,24072.0,48556.0,53364.0,59911.0,10702.0,255879.0
1989 Q4,36,206684.0,29911.0,74121.0,57841.0,59094.0,5541.0,315003.0
1990 Q1,37,180356.0,28265.0,71579.0,54439.0,61382.0,5886.0,279143.0
1990 Q2,38,201458.0,28243.0,69256.0,56273.0,67589.0,3061.0,290701.0
1990 Q3,39,208771.0,28926.0,59681.0,62061.0,74587.0,10893.0,295743.0
1990 Q4,40,242983.0,32618.0,85970.0,65353.0,85351.0,20722.0,362294.0
1991 Q1,41,218537.0,32206.0,72199.0,67793.0,85096.0,19645.0,325283.0
1991 Q2,42,248022.0,32501.0,65796.0,76489.0,78739.0,-2637.0,341433.0
1991 Q3,43,253699.0,33302.0,62414.0,74887.0,84065.0,4554.0,344791.0
1991 Q4,44,285297.0,37668.0,80157.0,79156.0,83006.0,12180.0,411450.0
1992 Q1,45,250316.0,34585.0,74910.0,79752.0,86637.0,9873.0,362800.0
1992 Q2,46,272887.0,34331.0,78785.0,73251.0,90908.0,-146.0,368201.0
1992 Q3,47,278838.0,33650.0,78929.0,80114.0,100073.0,-1005.0,370452.0
1992 Q4,48,313426.0,40009.0,87216.0,87207.0,95608.0,7822.0,440072.0
1993 Q1,49,272769.0,38555.0,79702.0,82432.0,94846.0,9170.0,387781.0
1993 Q2,50,298006.0,38901.0,93686.0,86190.0,114208.0,-4847.0,397727.0
1993 Q3,51,306458.0,39269.0,99647.0,95844.0,126379.0,-7308.0,407532.0
1993 Q4,52,344847.0,45238.0,117043.0,110767.0,138369.0,9855.0,489381.0
1994 Q1,53,306622.0,45869.0,100663.0,106029.0,127539.0,14433.0,446077.0
1994 Q2,54,333030.0,47014.0,124563.0,113568.0,147188.0,-8941.0,462046.0
1994 Q3,55,349342.0,49023.0,97774.0,124949.0,139028.0,-12273.0,469787.0
1994 Q4,56,384844.0,57196.0,127531.0,120755.0,136103.0,529.0,554751.0
1995 Q1,57,339633.0,53979.0,112938.0,112308.0,138314.0,14549.0,495093.0
1995 Q2,58,372944.0,56554.0,112590.0,135734.0,179288.0,15582.0,514116.0
1995 Q3,59,395101.0,58561.0,106589.0,155602.0,172127.0,-5945.0,537781.0
1995 Q4,60,437014.0,67905.0,142254.0,161093.0,193382.0,14709.0,629594.0
1996 Q1,61,392689.0,63439.0,137497.0,149338.0,184245.0,14494.0,573212.0
1996 Q2,62,428876.0,68724.0,145356.0,162432.0,218570.0,9480.0,596298.0
1996 Q3,63,441142.0,70436.0,134418.0,199727.0,222001.0,-9273.0,614449.0
1996 Q4,64,481012.0,80489.0,160434.0,205270.0,242861.0,13000.0,697344.0
1997 Q1,65,432856.0,77655.0,152915.0,200883.0,237676.0,9993.0,636625.0
1997 Q2,66,475088.0,87068.0,161996.0,208014.0,259566.0,-7418.0,665182.0
1997 Q3,67,484601.0,85423.0,159984.0,253750.0,313489.0,7864.0,678133.0
1997 Q4,68,537641.0,99647.0,192504.0,310424.0,358038.0,11257.0,793435.0
1998 Q1,69,494085.0,85296.0,195494.0,290640.0,358702.0,-834.0,705979.0
1998 Q2,70,544588.0,101255.0,133232.0,257942.0,298239.0,-718.0,738060.0
1998 Q3,71,544720.0,96969.0,133740.0,310756.0,329187.0,-8846.0,748152.0
1998 Q4,72,611500.0,108573.0,146440.0,292343.0,301521.0,-3305.0,854030.0
1999 Q1,73,562884.0,89902.0,140029.0,291127.0,316485.0,-53.0,767405.0
1999 Q2,74,601593.0,103871.0,142705.0,279025.0,315018.0,-1339.0,810836.0
1999 Q3,75,592553.0,96346.0,120650.0,353851.0,335904.0,-1973.0,825523.0
1999 Q4,76,663987.0,106286.0,138947.0,361844.0,329795.0,2553.0,943824.0
2000 Q1,77,600429.0,90432.0,166151.0,340182.0,348764.0,1968.0,850396.0
2000 Q2,78,652947.0,107541.0,129082.0,354091.0,347437.0,8509.0,904732.0
2000 Q3,79,654886.0,101030.0,134397.0,426877.0,399891.0,-3656.0,913644.0
2000 Q4,80,743547.0,110046.0,150309.0,481527.0,449824.0,-6820.0,1028784.0
2001 Q1,81,674223.0,96420.0,149172.0,437967.0,431754.0,-92.0,925936.0
2001 Q2,82,711777.0,115588.0,210326.0,397172.0,451889.0,7236.0,990210.0
2001 Q3,83,726832.0,106211.0,204708.0,415770.0,453330.0,-3425.0,996766.0
2001 Q4,84,821054.0,114072.0,198224.0,405352.0,423496.0,-3718.0,1111487.0
2002 Q1,85,725177.0,95652.0,196365.0,406393.0,414347.0,-2661.0,1006579.0
2002 Q2,86,781357.0,118854.0,218962.0,418057.0,467046.0,3807.0,1073992.0
2002 Q3,87,797033.0,113794.0,211646.0,456775.0,511228.0,-8323.0,1059697.0
2002 Q4,88,876877.0,118503.0,263114.0,459246.0,514627.0,7177.0,1210291.0
2003 Q1,89,801177.0,102139.0,250364.0,468700.0,529836.0,-1211.0,1091333.0
2003 Q2,90,845576.0,120330.0,222701.0,468734.0,512738.0,2780.0,1147383.0
2003 Q3,91,859685.0,120511.0,183345.0,527198.0,534294.0,-3891.0,1152553.0
2003 Q4,92,961372.0,125555.0,264919.0,531238.0,558866.0,2322.0,1326540.0
2004 Q1,93,889324.0,109222.0,287709.0,516904.0,570312.0,-9209.0,1223639.0
2004 Q2,94,941246.0,125281.0,286485.0,532205.0,591748.0,12726.0,1306195.0
2004 Q3,95,975651.0,123412.0,231115.0,576366.0,611297.0,4610.0,1299857.0
2004 Q4,96,1112155.0,128738.0,298389.0,601346.0,638289.0,-8127.0,1494213.0
2005 Q1,97,1001726.0,116921.0,279083.0,554058.0,590756.0,-6552.0,1354481.0
2005 Q2,98,1075814.0,145367.0,264507.0,588845.0,630600.0,12861.0,1456794.0
2005 Q3,99,1077433.0,127055.0,258960.0,635777.0,652366.0,-3405.0,1443454.0
2005 Q4,100,1221087.0,135235.0,296083.0,661017.0,647966.0,-2904.0,1662553.0
2006 Q1,101,1106500.0,136192.0,233514.0,641771.0,622145.0,967.0,1496799.0
2006 Q2,102,1189444.0,159946.0,236650.0,696436.0,669304.0,13265.0,1626437.0
2006 Q3,103,1177253.0,141229.0,242002.0,684153.0,659692.0,3853.0,1588797.0
2006 Q4,104,1326777.0,156552.0,336905.0,679390.0,643156.0,-18084.0,1838384.0
2007 Q1,105,1193910.0,149629.0,228144.0,690958.0,611209.0,368.0,1651799.0
2007 Q2,106,1283459.0,180494.0,270445.0,671799.0,632923.0,9742.0,1783015.0
2007 Q3,107,1271515.0,160002.0,266927.0,694341.0,655084.0,-977.0,1736724.0
2007 Q4,108,1452307.0,174388.0,395464.0,679257.0,665577.0,-9132.0,2026706.0
2008 Q1,109,1325318.0,154818.0,314637.0,622690.0,634051.0,12287.0,1795699.0
2008 Q2,110,1452134.0,189997.0,388095.0,678281.0,700599.0,12269.0,2020177.0
2008 Q3,111,1466475.0,178814.0,403136.0,739996.0,772337.0,-17634.0,1998449.0
2008 Q4,112,1647678.0,185951.0,421026.0,644325.0,656183.0,-6922.0,2235875.0
2009 Q1,113,1426912.0,170036.0,296000.0,595200.0,584303.0,-4245.0,1899600.0
2009 Q2,114,1531354.0,220378.0,334142.0,619529.0,649962.0,19840.0,2075281.0
2009 Q3,115,1482901.0,213454.0,338229.0,677851.0,658943.0,-17272.0,2036219.0
2009 Q4,116,1699717.0,220625.0,494224.0,642966.0,679887.0,1677.0,2379322.0
2010 Q1,117,1537553.0,218123.0,397214.0,773314.0,765091.0,-9499.0,2151614.0
2010 Q2,118,1631454.0,258927.0,465444.0,769221.0,781763.0,9563.0,2352847.0
2010 Q3,119,1592490.0,216029.0,414559.0,816692.0,766730.0,-3272.0,2269768.0
2010 Q4,120,1836208.0,220585.0,644197.0,730827.0,809801.0,3208.0,2625222.0
2011 Q1,121,1689009.0,193759.0,531329.0,792700.0,863217.0,7629.0,2351209.0
2011 Q2,122,1816501.0,291008.0,436755.0,762280.0,771064.0,9360.0,2544840.0
2011 Q3,123,1762602.0,249213.0,494388.0,727152.0,789806.0,-14491.0,2429057.0
2011 Q4,124,2049375.0,251435.0,641524.0,670515.0,790797.0,-2498.0,2819554.0
2012 Q1,125,1878447.0,255368.0,460525.0,789290.0,849564.0,5476.0,2539542.0
2012 Q2,126,1963276.0,336766.0,500764.0,771207.0,830059.0,11073.0,2753027.0
2012 Q3,127,1936819.0,303401.0,522959.0,756647.0,835873.0,-11032.0,2672921.0
2012 Q4,128,2246467.0,298139.0,679284.0,720876.0,844150.0,-5516.0,3095098.0
2013 Q1,129,2031658.0,298078.0,524310.0,763378.0,830140.0,-14563.0,2772721.0
2013 Q2,130,2111436.0,380841.0,553791.0,810700.0,852552.0,-10232.0,2993985.0
2013 Q3,131,2098485.0,324213.0,636098.0,809385.0,965979.0,12301.0,2914503.0
2013 Q4,132,2436145.0,300375.0,773311.0,771071.0,924012.0,12493.0,3369383.0
2014 Q1,133,2204907.0,318521.0,626063.0,903606.0,1017405.0,223.0,3035915.0
2014 Q2,134,2291325.0,400446.0,639480.0,905643.0,912041.0,-28129.0,3296724.0
2014 Q3,135,2280899.0,332400.0,682287.0,945597.0,1070764.0,3997.0,3174416.0
2014 Q4,136,2635906.0,343430.0,815563.0,857816.0,976851.0,23910.0,3699773.0
2015 Q1,137,2372797.0,324078.0,611588.0,967214.0,1099682.0,28282.0,3204277.0
2015 Q2,138,2468974.0,413473.0,683363.0,948829.0,992806.0,-27934.0,3493900.0
2015 Q3,139,2436184.0,384928.0,770421.0,969929.0,1205212.0,-25668.0,3330583.0
2015 Q4,140,2827778.0,399058.0,910443.0,907961.0,1155163.0,25320.0,3915398.0
2016 Q1,141,2547013.0,368652.0,782499.0,1010940.0,1298718.0,27263.0,3437650.0
2016 Q2,142,2680857.0,489049.0,929892.0,1002884.0,1276450.0,-35086.0,3791145.0
2016 Q3,143,2664733.0,410195.0,936656.0,1023974.0,1369085.0,-21494.0,3644979.0
2016 Q4,144,3086483.0,435703.0,1076319.0,998463.0,1367676.0,29317.0,4258608.0
2017 Q1,145,2782053.0,379718.0,973080.0,1192114.0,1606364.0,24932.0,3745533.0
2017 Q2,146,2923649.0,538639.0,1064658.0,1202642.0,1537248.0,-38386.0,4153954.0
2017 Q3,147,2889159.0,455432.0,1023509.0,1284166.0,1609629.0,-24715.0,4017922.0
2017 Q4,148,3356002.0,500980.0,1170430.0,1213949.0,1640288.0,38169.0,4639242.0
2018 Q1,149,3050982.0,444837.0,1064617.0,1337126.0,1796116.0,-309.0,4101138.0
2018 Q2,150,3240042.0,623474.0,1273938.0,1361794.0,1929120.0,-1336.0,4568792.0
2018 Q3,151,3227592.0,543284.0,1260483.0,1455659.0,2005601.0,-31204.0,4450213.0
2018 Q4,152,3731469.0,588042.0,1360067.0,1363993.0,1931373.0,32849.0,5145048.0
2019 Q1,153,3340847.0,481517.0,1178488.0,1389374.0,2004060.0,39911.0,4426077.0
2019 Q2,154,3499709.0,668914.0,1246495.0,1406478.0,1927311.0,-28311.0,4865973.0
2019 Q3,155,3462628.0,591359.0,1272706.0,1402117.0,2023448.0,20530.0,4725892.0
2019 Q4,156,3985148.0,691649.0,1455380.0,1341770.0,1941898.0,-32130.0,5499920.0
2020 Q1,157,3422615.0,528976.0,956211.0,1321643.0,1766673.0,-13632.0,4449141.0
2020 Q2,158,3042128.0,829162.0,518470.0,904783.0,1149515.0,-6655.0,4138373.0
2020 Q3,159,3210325.0,639282.0,709963.0,1116142.0,1506042.0,35438.0,4205108.0
2020 Q4,160,3801008.0,742251.0,944922.0,1181738.0,1495815.0,-15151.0,5158953.0
2021 Q1,161,3397750.0,634088.0,815357.0,1205533.0,1638318.0,-40339.0,4374072.0
2021 Q2,162,3395240.0,817866.0,1141002.0,1177329.0,1784038.0,20591.0,4767989.0
2021 Q3,163,3583127.0,748261.0,952964.0,1282623.0,1931192.0,-31687.0,4604095.0
2021 Q4,164,4232430.0,823802.0,1194224.0,1333144.0,1970576.0,51435.0,5664458.0
2022 Q1,165,3853345.0,680159.0,1142898.0,1460189.0,2203811.0,-3982.0,4928798.0
2022 Q2,166,3878011.0,947127.0,1569620.0,1405651.0,2433416.0,31111.0,5398104.0
2022 Q3,167,4131183.0,790600.0,1344707.0,1665177.0,2711875.0,30155.0,5249946.0
2022 Q4,168,4862506.0,895976.0,1380646.0,1722239.0,2352654.0,-57283.0,6451429.0
2023 Q1,169,4416488.0,757815.0,1336439.0,1555932.0,2434826.0,-16891.0,5614956.0
2023 Q2,170,4324079.0,916381.0,1552093.0,1518883.0,2427283.0,2887.0,5887040.0
2023 Q3,171,4533012.0,870764.0,1287896.0,1740233.0,2634642.0,-36139.0,5761125.0
2023 Q4,172,5330879.0,912738.0,1514441.0,1661319.0,2419078.0,50143.0,7050442.0
2024 Q1,173,4782609.0,802972.0,1356665.0,1701048.0,2483237.0,-40921.0,6119136.0
2024 Q2,174,4707105.0,1063621.0,1801255.0,1621893.0,2674400.0,-24701.0,6494774.0
2024 Q3,175,4918612.0,944180.0,1483959.0,1746471.0,2860955.0,22353.0,6254621.0
2024 Q4,176,5729365.0,1026212.0,1621850.0,1746727.0,2589585.0,43269.0,7577838.0
2025 Q1,177,5151591.0,976285.0,1472266.0,1868966.0,2848457.0,-38564.0,6582087.0
2025 Q2,178,5026488.0,1177074.0,1827808.0,1692148.0,2713879.0,-44405.0,6965235.0
2025 Q3,179,5190219.0,1015913.0,1473679.0,1899517.0,2982937.0,-41338.0,6555053.0
2025 Q4,180,6039983.0,1088002.0,1476138.0,2001007.0,2665810.0,-27431.0,7911889.0
1981 Q1,181,633014.0,145725.0,264487.0,168060.0,163795.0,64599.0,1112091.0
1981 Q2,182,705894.0,158394.0,274099.0,160596.0,181961.0,32272.0,1149294.0
1981 Q3,183,712489.0,149185.0,268056.0,148602.0,175448.0,-36061.0,1066823.0
